Food,SKU,Name,QTY,Image,Threshold
Impossible™ Breakfast Sandwich,,,,,
"Bacon, Gouda & Egg Sandwich",,,,,
"Double-Smoked Bacon, Cheddar & Egg Sandwich",,,,,
"Turkey Bacon, Cheddar & Egg White Sandwich",,,,,
"Spinach, Feta & Egg White Wrap",,,,,
Kale & Mushroom Egg Bites,,,,,
Bacon & Gruyère Egg Bites,,,,,
Egg White & Roasted Red Pepper Egg Bites ,,,,,
Crispy Grilled Cheese on Sourdough,,,,,
Ham & Swiss on Baguette,,,,,
"Turkey, Provolone & Pesto on Ciabatta",,,,,
Chicken Caprese on Ciabatta,,,,,
Chicken & Bacon on Brioche,,,,,
Tomato & Mozzarella on Focaccia,,,,,
Chickpea Bites & Avocado Protein Box,,,,,
Chicken & Hummus Protein Box,,,,,
Eggs & Cheddar Protein Box,,,,,
PB&J Protein Box,,,,,
Cheese & Fruit Protein Box,,,,,
Plain Bagel,,,,,
Avocado Spread,,,,,
Earth Cake Pop,,,,,
Birthday Cake Pop,,,,,
Chocolate Cake Pop,,,,,
Double Chocolate Brownie,,,,,
Chocolate Chip Cookie,,,,,
Marshmallow Dream Bar,,,,,
Ham & Swiss Croissant,,,,,
Butter Croissant,,,,,
Almond Croissant,,,,,
Chocolate Croissant,,,,,
Red Velvet Loaf,,,,,
Cinnamon Coffee Cake,,,,,
Iced Lemon Loaf,,,,,
Pumpkin & Pepita Loaf,,,,,
Banana Walnut & Pecan Loaf,,,,,
Cheese Danish,,,,,
Glazed Doughnut,,,,,
Blueberry Scone,,,,,
Petite Vanilla Bean Scone,,,,,
Blueberry Muffin,,,,,
